REGION,PLACE ID,PLACE NAME,CATEGORY,PROVINCE,CITY,SURVEYOR,LINK GMAPS
JAWA,TRP-001,Candi Borobudur,Heritage,Jawa Tengah,Magelang,Surveyor A,"https://www.google.com/maps/place/Candi+Borobudur/@-7.6078574,110.2038233,17z/data=!3m1!4b1!4m6!3m5!1s0x0:0x0!8m2!3d-7.6078738!4d110.2037342!16s%2Fg%2F11f0sample"
JAWA,TRP-002,Candi Prambanan,Heritage,DI Yogyakarta,Sleman,Surveyor A,"https://www.google.com/maps/place/Candi+Prambanan/@-7.7520024,110.4916338,17z/data=!3m1!4b1!4m6!3m5!1s0x0:0x0!8m2!3d-7.7520188!4d110.4915447!16s%2Fg%2F11f0sample"
JAWA,TRP-003,Keraton Yogyakarta,Heritage,DI Yogyakarta,Yogyakarta,Surveyor A,"https://www.google.com/maps/place/Keraton+Yogyakarta/@-7.8053127,110.3643428,17z/data=!3m1!4b1!4m6!3m5!1s0x0:0x0!8m2!3d-7.8053291!4d110.3642537!16s%2Fg%2F11f0sample"
JAWA,TRP-004,Jalan Malioboro,Urban,DI Yogyakarta,Yogyakarta,Surveyor B,"https://www.google.com/maps/place/Jalan+Malioboro/@-7.7925252,110.3658993,17z/data=!3m1!4b1!4m6!3m5!1s0x0:0x0!8m2!3d-7.7925416!4d110.3658102!16s%2Fg%2F11f0sample"
JAWA,TRP-005,Monumen Nasional,Landmark,DKI Jakarta,Jakarta Pusat,Surveyor B,"https://www.google.com/maps/place/Monumen+Nasional/@-6.175376,106.8272419,17z/data=!3m1!4b1!4m6!3m5!1s0x0:0x0!8m2!3d-6.1753924!4d106.8271528!16s%2Fg%2F11f0sample"
JAWA,TRP-006,Kota Tua Jakarta,Heritage,DKI Jakarta,Jakarta Barat,Surveyor B,"https://www.google.com/maps/place/Kota+Tua+Jakarta/@-6.1351909,106.813452,17z/data=!3m1!4b1!4m6!3m5!1s0x0:0x0!8m2!3d-6.1352073!4d106.8133629!16s%2Fg%2F11f0sample"
JAWA,TRP-007,Taman Mini Indonesia Indah,Theme Park,DKI Jakarta,Jakarta Timur,Surveyor B,"https://www.google.com/maps/place/Taman+Mini+Indonesia+Indah/@-6.3024024,106.8952595,17z/data=!3m1!4b1!4m6!3m5!1s0x0:0x0!8m2!3d-6.3024188!4d106.8951704!16s%2Fg%2F11f0sample"
JAWA,TRP-008,Gedung Sate,Landmark,Jawa Barat,Bandung,Surveyor C,"https://www.google.com/maps/place/Gedung+Sate/@-6.9025183,107.6187106,17z/data=!3m1!4b1!4m6!3m5!1s0x0:0x0!8m2!3d-6.9025347!4d107.6186215!16s%2Fg%2F11f0sample"
JAWA,TRP-009,Kawah Putih Ciwidey,Nature,Jawa Barat,Bandung,Surveyor C,"https://www.google.com/maps/place/Kawah+Putih+Ciwidey/@-7.1660328,107.4023727,17z/data=!3m1!4b1!4m6!3m5!1s0x0:0x0!8m2!3d-7.1660492!4d107.4022836!16s%2Fg%2F11f0sample"
JAWA,TRP-010,Dataran Tinggi Dieng,Nature,Jawa Tengah,Banjarnegara,Surveyor C,"https://www.google.com/maps/place/Dataran+Tinggi+Dieng/@-7.200055,109.9101219,17z/data=!3m1!4b1!4m6!3m5!1s0x0:0x0!8m2!3d-7.2000714!4d109.9100328!16s%2Fg%2F11f0sample"
JAWA,TRP-011,Goa Jomblang,Cave,DI Yogyakarta,Gunungkidul,Surveyor C,"https://www.google.com/maps/place/Goa+Jomblang/@-8.0300365,110.6401038,17z/data=!3m1!4b1!4m6!3m5!1s0x0:0x0!8m2!3d-8.0300529!4d110.6400147!16s%2Fg%2F11f0sample"
JAWA,TRP-012,Gunung Bromo,Nature,Jawa Timur,Probolinggo,Surveyor D,"https://www.google.com/maps/place/Gunung+Bromo/@-7.9424999,112.9531363,17z/data=!3m1!4b1!4m6!3m5!1s0x0:0x0!8m2!3d-7.9425163!4d112.9530472!16s%2Fg%2F11f0sample"
